trial,pr_auc,roc_auc,hidden_dims,dropout,lr,weight_decay,batch_size,use_pos_weight,fold
1,0.38069925486554873,0.8347219804045605,"(128, 64, 32)",0.25,0.001,0.0001,1024,True,1
2,0.38028567682934883,0.8347834454432667,"(256, 128, 64)",0.3,0.0005,0.0001,1024,True,1
4,0.3792546485720157,0.8343018088456551,"(128, 64, 16)",0.15,0.0005,0.0005,512,True,1
5,0.3783825166192495,0.8330934862463236,"(128, 64, 32)",0.2,0.001,0.0001,1024,False,1
3,0.37622849891796006,0.8342263583570866,"(256, 128, 32)",0.2,0.001,5e-05,512,True,1
2,0.3677103642242972,0.836115660886487,"(256, 128, 64)",0.3,0.0005,0.0001,1024,True,2
4,0.3667212745904049,0.834282452172295,"(128, 64, 16)",0.15,0.0005,0.0005,512,True,2
1,0.365608327077359,0.8354179085509675,"(128, 64, 32)",0.25,0.001,0.0001,1024,True,2
5,0.3652050550031762,0.8356698493361674,"(128, 64, 32)",0.2,0.001,0.0001,1024,False,2
3,0.3637965562267577,0.8361908580154566,"(256, 128, 32)",0.2,0.001,5e-05,512,True,2
1,0.3586322801445581,0.8374145848784047,"(128, 64, 32)",0.25,0.001,0.0001,1024,True,3
5,0.35833686669904224,0.8366306396073211,"(128, 64, 32)",0.2,0.001,0.0001,1024,False,3
3,0.3572727499866961,0.8382279705348867,"(256, 128, 32)",0.2,0.001,5e-05,512,True,3
4,0.35725242608638164,0.8371948714341916,"(128, 64, 16)",0.15,0.0005,0.0005,512,True,3
2,0.35671416235557246,0.8376493985547153,"(256, 128, 64)",0.3,0.0005,0.0001,1024,True,3
3,0.3500394364560849,0.8271400423901012,"(256, 128, 32)",0.2,0.001,5e-05,512,True,4
4,0.34827167313866336,0.8267088243526814,"(128, 64, 16)",0.15,0.0005,0.0005,512,True,4
2,0.3477680480699014,0.8271671011952695,"(256, 128, 64)",0.3,0.0005,0.0001,1024,True,4
1,0.34511098082866426,0.8258459829024836,"(128, 64, 32)",0.25,0.001,0.0001,1024,True,4
5,0.34154767733820746,0.8237592119016582,"(128, 64, 32)",0.2,0.001,0.0001,1024,False,4
2,0.3798798551902364,0.8422842070422213,"(256, 128, 64)",0.3,0.0005,0.0001,1024,True,5
4,0.3787134094386053,0.8431175067631811,"(128, 64, 16)",0.15,0.0005,0.0005,512,True,5
5,0.3780063221996702,0.841600946875762,"(128, 64, 32)",0.2,0.001,0.0001,1024,False,5
3,0.3751703514486937,0.8420776176252341,"(256, 128, 32)",0.2,0.001,5e-05,512,True,5
1,0.3744966991546138,0.8408149747278868,"(128, 64, 32)",0.25,0.001,0.0001,1024,True,5
