model,scenario,fp_mean,fn_mean,total_cost_mean,avg_cost_mean,avg_cost_std,roc_auc_mean,recall_1_mean,precision_1_mean
AutoTunedMLP,cost_1_1,148.0,1172.4,1320.4,0.0630750336763244,0.0007556993132888538,0.8359474621832119,0.16436208125445473,0.6114017624146826
MLP,cost_1_1,171.0,1149.6,1320.6,0.0630845861429874,0.0007152045013346723,0.8369056989342202,0.1806129722024234,0.5992145703749158
LogisticRegression,cost_1_1,153.6,1171.4,1325.0,0.06329476779361538,0.0007545904721269939,0.8205642819835266,0.16507483962936564,0.6046701837094874
MajorityClass,cost_1_1,0.0,1403.0,1403.0,0.06702079892385826,1.431821817020434e-06,0.5,0.0,0.0
ContextualBandit_IPS_cost_1_1,cost_1_1,3278.4,440.6,3719.0,0.17765524149208506,0.015274605985834418,0.8184488817939158,0.6859586600142552,0.22790971290014922
ContextualBandit_cost_1_1,cost_1_1,3515.4,401.8,3917.2,0.1871231517100894,0.004688636271782679,0.8190242702305508,0.7136136849607982,0.2217380194551885
MLP,cost_1_10,2621.2,484.0,7461.2,0.35641873068292595,0.009235888223362805,0.8369056989342202,0.6550249465431219,0.26069631277649613
AutoTunedMLP,cost_1_10,2603.2,486.2,7465.2,0.35660981835384475,0.008305017299899135,0.8359474621832119,0.6534568781183179,0.2607429167603247
LogisticRegression,cost_1_10,2369.2,532.4,7693.2,0.3675012756741881,0.00949549740292666,0.8205642819835266,0.620527441197434,0.2691773113843138
ContextualBandit_IPS_cost_1_10,cost_1_10,10806.8,135.4,12160.8,0.5809167356664655,0.02166855182633934,0.8172642156815201,0.9034925160370634,0.10509652987556102
MajorityClass,cost_1_10,0.0,1403.0,14030.0,0.6702079892385827,1.4318218170191928e-05,0.5,0.0,0.0
ContextualBandit_cost_1_10,cost_1_10,15102.0,35.0,15452.0,0.73813620357892,0.013421874139999911,0.7719460195352037,0.9750534568781184,0.0830795944739516
