scenario,fold,model,threshold
cost_1_1,1,AutoTunedMLP,0.9306060606060605
cost_1_10,1,AutoTunedMLP,0.5890909090909091
cost_1_1,1,LogisticRegression,0.9603030303030302
cost_1_10,1,LogisticRegression,0.5148484848484849
cost_1_1,1,MLP,0.9306060606060605
cost_1_10,1,MLP,0.598989898989899
cost_1_1,2,AutoTunedMLP,0.9355555555555555
cost_1_10,2,AutoTunedMLP,0.5643434343434344
cost_1_1,2,LogisticRegression,0.9850505050505051
cost_1_10,2,LogisticRegression,0.4851515151515151
cost_1_1,2,MLP,0.9207070707070707
cost_1_10,2,MLP,0.5395959595959596
cost_1_1,3,AutoTunedMLP,0.9058585858585858
cost_1_10,3,AutoTunedMLP,0.6187878787878788
cost_1_1,3,LogisticRegression,0.9702020202020202
cost_1_10,3,LogisticRegression,0.5
cost_1_1,3,MLP,0.9108080808080807
cost_1_10,3,MLP,0.6039393939393939
cost_1_1,4,AutoTunedMLP,0.9108080808080807
cost_1_10,4,AutoTunedMLP,0.5841414141414141
cost_1_1,4,LogisticRegression,0.9652525252525253
cost_1_10,4,LogisticRegression,0.5
cost_1_1,4,MLP,0.9355555555555555
cost_1_10,4,MLP,0.6187878787878788
cost_1_1,5,AutoTunedMLP,0.9256565656565656
cost_1_10,5,AutoTunedMLP,0.6187878787878788
cost_1_1,5,LogisticRegression,0.9751515151515151
cost_1_10,5,LogisticRegression,0.5346464646464646
cost_1_1,5,MLP,0.9009090909090909
cost_1_10,5,MLP,0.6237373737373737
