epoch,train_expected_reward,val_expected_reward,train_loss,val_avg_cost
1,0.8183325532337894,0.9717698693275452,-0.8183325532337894,0.18429349383777588
2,0.9395590003417886,0.9826176329092546,-0.9395590003417886,0.18534441578293684
3,0.9557563532953677,0.9935105659744956,-0.9557563532953677,0.1935607146269227
4,0.9628006783516511,0.9967376102100719,-0.9628006783516511,0.1832425718926149
5,0.9735327589771022,1.011342552575198,-0.9735327589771022,0.1825738033820579
6,0.9714117102001024,1.006655752658844,-0.9714117102001024,0.18515333906563486
7,0.9818139322426008,1.01111209934408,-0.9818139322426008,0.18763733639056082
8,0.9808004977910415,1.0055728283795444,-0.9808004977910415,0.1823827266647559
9,0.9816747683545818,1.0156064358624546,-0.9816747683545818,0.19164994745390274
10,0.9835728231979453,1.0133094137365168,-0.9835728231979453,0.18362472532721888
11,0.98640185918497,1.0045728466727517,-0.98640185918497,0.18362472532721888
12,0.9873732496862826,1.0106242840940303,-0.9873732496862826,0.18993025699818478
13,0.9842541716668917,1.0088916366750544,-0.9842541716668917,0.1822871883061049
14,0.9869201280500578,1.0193430131131953,-0.9869201280500578,0.18601318429349384
15,0.9909742766100428,1.011383132501082,-0.9909742766100428,0.1820005732301519
16,0.9845925725024679,1.014904341914437,-0.9845925725024679,0.1874462596732588
17,0.993836619283842,1.017685131593184,-0.993836619283842,0.18696856788000382
18,0.9970655493114305,1.014520141211423,-0.9970655493114305,0.17722365529760198
19,0.9925554206837779,1.020376736467535,-0.9925554206837779,0.17473965797267602
20,0.9924890787705131,1.0017458146268672,-0.9924890787705131,0.1873507213146078
21,0.9951966029146443,1.0069788206707349,-0.9951966029146443,0.19270086939906372
22,0.9967571244291638,1.018490027297627,-0.9967571244291638,0.1823827266647559
23,0.9957119083922842,1.011380677873438,-0.9957119083922842,0.19136333237794975
24,0.9969149309655895,1.0153100924058394,-0.9969149309655895,0.1889748734116748
25,0.9963151903256126,1.0039542263204402,-0.9963151903256126,0.17980319098117895
26,0.9932029260241467,1.0064519101923162,-0.9932029260241467,0.18964364192223176
27,0.9975910795771558,1.0086297501217236,-0.9975910795771558,0.18582210757619183
28,0.9974113132642664,1.0127465345642783,-0.9974113132642664,0.19566255851724468
29,0.9954604428747426,1.0279776724902066,-0.9954604428747426,0.1828604184580109
30,0.9951795397893243,1.0245848027142612,-0.9951795397893243,0.19508932836533868
31,1.0043007375105568,1.0273061828179793,-1.0043007375105568,0.18582210757619183
32,1.0016926902791727,1.0307639295404607,-1.0016926902791727,0.18391134040317186
33,0.9956079630748086,1.0141896280375393,-0.9956079630748086,0.18878379669437279
34,1.0010843633309654,1.0183674422177402,-1.0010843633309654,0.18419795547912488
35,0.9961275698050208,1.0146425312215632,-0.9961275698050208,0.18763733639056082
36,1.0026629320953204,1.0151257677511736,-1.0026629320953204,0.2004394764497946
37,1.0029829792354419,1.0230594006451694,-1.0029829792354419,0.18706410623865483
38,1.0063751113155615,1.0125496495853772,-1.0063751113155615,0.18935702684627878
39,0.998649563478387,1.009704351425171,-0.998649563478387,0.1872551829559568
40,1.002756272321162,1.0171353275125676,-1.002756272321162,0.18868825833572178
41,1.0006675299095071,0.9884031685915861,-1.0006675299095071,0.175981656635139
42,1.0005533351846363,0.9996538920836016,-1.0005533351846363,0.18572656921754085
43,1.0095206544451092,1.0174267075278542,-1.0095206544451092,0.18591764593484283
44,1.0057607403267985,1.0205526135184548,-1.0057607403267985,0.18467564727237987
45,1.004822063057319,1.0112149986353787,-1.004822063057319,0.19126779401929875
46,1.0029226567434228,1.005491240458055,-1.0029226567434228,0.17770134709085697
47,1.0045237612465154,1.0262441797689958,-1.0045237612465154,0.18591764593484283
48,1.0038469932649448,1.0278641202233054,-1.0038469932649448,0.1882105665424668
49,1.0025985215021216,1.0198691216382114,-1.0025985215021216,0.18668195280405084
50,1.0012624315593555,1.0073572397232056,-1.0012624315593555,0.18505780070698385
51,1.0080269257659498,1.022444567897103,-1.0080269257659498,0.1880194898251648
52,1.0040015694887743,1.025883587923917,-1.0040015694887743,0.19241425432311074
53,1.0031325544999994,1.0203827294436367,-1.0031325544999994,0.18362472532721888
54,1.010657114179238,1.0312094742601567,-1.010657114179238,0.19136333237794975
55,1.0062521864538607,1.0254540280862288,-1.0062521864538607,0.18496226234833285
56,1.0094405872666317,1.014563105323098,-1.0094405872666317,0.18715964459730583
57,1.0094655493031377,1.0253552198410034,-1.0094655493031377,0.18687302952135282
58,1.0117679633524106,1.0245314240455627,-1.0117679633524106,0.18524887742428586
59,1.009261953441993,1.0210169445384631,-1.009261953441993,0.1828604184580109
60,1.0034788801618244,1.0414469133723865,-1.0034788801618244,0.18410241712047387
61,1.0072970170041788,1.032430800524625,-1.0072970170041788,0.18754179803190982
62,1.0125692648732143,1.0222498720342463,-1.0125692648732143,0.18075857456768893
63,1.0146988163823667,1.0160166729580273,-1.0146988163823667,0.18563103085888985
64,1.0108481522487558,1.0303649577227505,-1.0108481522487558,0.19069456386739275
65,1.0073010124590085,1.0263301621783862,-1.0073010124590085,0.177510270373555
66,1.0138477955175482,1.0297614227641712,-1.0138477955175482,0.18343364860991687
67,1.0156209131945735,1.023605839772658,-1.0156209131945735,0.18610872265214484
68,1.0163085415311481,1.0369123112071643,-1.0163085415311481,0.18763733639056082
69,1.0140673110018605,1.0280062664638867,-1.0140673110018605,0.19174548581255374
70,1.0130743468585222,1.0409791577946057,-1.0130743468585222,0.18668195280405084
71,1.0095379119334014,1.0310366533019326,-1.0095379119334014,0.1820005732301519
72,1.0177980849276418,1.0327137979594143,-1.0177980849276418,0.1930830228336677
73,1.0191733973181767,1.0347019325603137,-1.0191733973181767,0.18037642113308494
74,1.0125331127125283,1.0213617303154685,-1.0125331127125283,0.16900735645361611
75,1.0244324110124423,1.0411605022170327,-1.0244324110124423,0.2123817712811694
76,1.0238675850888956,1.0527150468392805,-1.0238675850888956,0.19145887073660076
77,1.0290362284235333,1.0315112471580505,-1.0290362284235333,0.17903888411197097
78,1.0310287307138029,1.0243685624816201,-1.0310287307138029,0.16757428107385114
79,1.0386302432288295,1.0496027307076887,-1.0386302432288295,0.1991974777873316
80,1.0373223469309185,1.035259187221527,-1.0373223469309185,0.1699627400401261
81,1.0324151425257972,1.0444236506115308,-1.0324151425257972,0.17865673067736695
82,1.0360016835772472,1.0518422614444385,-1.0360016835772472,0.19270086939906372
83,1.029934999735459,1.0378247120163657,-1.029934999735459,0.19136333237794975
84,1.0414729759744976,1.0403482643040745,-1.0414729759744976,0.19222317760580873
85,1.0455223995706309,1.0631376938386397,-1.0455223995706309,0.18696856788000382
86,1.04547557817853,1.040866656736894,-1.04547557817853,0.17340212095156204
87,1.04243159942005,1.0557610663500698,-1.04243159942005,0.19126779401929875
88,1.0483785874169806,1.07903391122818,-1.0483785874169806,0.19604471195184867
89,1.0440493303796519,1.0661961490457708,-1.0440493303796519,0.20750931498996847
90,1.0505536904801493,1.0627488873221658,-1.0505536904801493,0.18008980605713193
91,1.0518334054428597,1.0692725073207507,-1.0518334054428597,0.18668195280405084
92,1.056804799515268,1.075701892375946,-1.056804799515268,0.19384732970287571
93,1.0468238708765611,1.0729614712975242,-1.0468238708765611,0.1952804050826407
94,1.0462354764990185,1.0446687178178267,-1.0462354764990185,0.1708225852679851
95,1.0555719163106836,1.0548264384269714,-1.0555719163106836,0.16824304958440814
96,1.0444053864997367,1.0532084540887312,-1.0444053864997367,0.1717779688544951
97,1.0490739578786104,1.051691542972218,-1.0490739578786104,0.2059807012515525
98,1.057630616037742,1.0721707506613298,-1.057630616037742,0.18763733639056082
99,1.0591987546371378,1.0542761304161765,-1.0591987546371378,0.1883061049011178
100,1.0486273888660513,1.0563639835877852,-1.0486273888660513,0.175312888124582
101,1.0592871878458106,1.0574650385163047,-1.0592871878458106,0.176650425145696
102,1.0648188979729363,1.0640745217149907,-1.0648188979729363,0.19107671730199674
103,1.0503026570962823,1.0581884709271518,-1.0503026570962823,0.1648992070316232
104,1.0581609321677166,1.074529767036438,-1.0581609321677166,0.19537594344129167
105,1.054394028109053,1.0815756158395247,-1.054394028109053,0.17856119231871598
106,1.0559044583984043,1.0842520811341025,-1.0559044583984043,0.20110824496035157
107,1.0607618598834327,1.0807633074847134,-1.0607618598834327,0.18477118563103087
108,1.0619531928197197,1.0771720842881636,-1.0619531928197197,0.1817139581541989
109,1.060815049254376,1.0545591603625903,-1.060815049254376,0.16117321104423427
110,1.0625462583873584,1.069890173998746,-1.0625462583873584,0.18372026368586988
111,1.060599818177845,1.0941799662329934,-1.060599818177845,0.20961115888029044
112,1.0564460741437,1.0972488034855237,-1.0564460741437,0.20397439571988155
113,1.0609063285848368,1.0702449896118857,-1.0609063285848368,0.20368778064392853
114,1.0606858283281326,1.0745005770163103,-1.0606858283281326,0.20072609152574758
115,1.056103199072506,1.0645940845662898,-1.056103199072506,0.17216012228909908
116,1.0568128876064136,1.0696238983761182,-1.0568128876064136,0.17837011560141397
117,1.06243720067584,1.0430821559645913,-1.06243720067584,0.18028088277443394
118,1.0545249834008839,1.058853653344241,-1.0545249834008839,0.20282793541606955
119,1.0630463918913966,1.0570821436968716,-1.0630463918913966,0.18047195949173594
120,1.0618956451830657,1.0295926061543552,-1.0618956451830657,0.20750931498996847
121,1.0521957550359808,1.0691216858950527,-1.0521957550359808,0.21916499474539028
122,1.0592153590658437,1.0757675604386763,-1.0592153590658437,0.20129932167765358
123,1.0634114133275074,1.083061613819816,-1.0634114133275074,0.2108531575427534
124,1.0684408480706422,1.0655890811573376,-1.0684408480706422,0.18524887742428586
125,1.0691137385109197,1.064703020182523,-1.0691137385109197,0.18515333906563486
126,1.0613458869249925,1.075420455499129,-1.0613458869249925,0.1884971816184198
127,1.0581842427668364,1.082381551915949,-1.0581842427668364,0.19040794879143977
128,1.0686270393755124,1.060151826251637,-1.0686270393755124,0.18973918028088277
129,1.066171830115111,1.0580161809921265,-1.066171830115111,0.18945256520492978
130,1.0661813778721767,1.056005147370425,-1.0661813778721767,0.19270086939906372
131,1.0722055901651797,1.053923325105147,-1.0722055901651797,0.1935607146269227
132,1.0667477865581927,1.0646002184260974,-1.0667477865581927,0.2226999140154772
133,1.0662078812070515,1.080744369463487,-1.0662078812070515,0.20292347377472056
134,1.0679841106352599,1.0608460252935237,-1.0679841106352599,0.22117130027706125
135,1.0803712204746578,1.0728740204464307,-1.0803712204746578,0.20139486003630458
136,1.0662177069031673,1.0685181671922857,-1.0662177069031673,0.18668195280405084
137,1.0598693515943445,1.0730410489169033,-1.0598693515943445,0.19900640107002962
138,1.0647178901278453,1.0864372686906294,-1.0647178901278453,0.20072609152574758
139,1.0726847868898641,1.0670485984195361,-1.0726847868898641,0.19766886404891565
140,1.0720258128383886,1.0788202394138684,-1.0720258128383886,0.17359319766886405
141,1.0673735271329465,1.0627174106511204,-1.0673735271329465,0.20999331231489443
142,1.0691158901090208,1.0822819037870928,-1.0691158901090208,0.20397439571988155
143,1.0757246529278548,1.0727631070397117,-1.0757246529278548,0.20168147511225756
144,1.0758443759835286,1.059139761057767,-1.0758443759835286,0.16852966466036112
145,1.0739636628524116,1.087188113819469,-1.0739636628524116,0.2056940861755995
146,1.0671120098103648,1.083154098554091,-1.0671120098103648,0.18008980605713193
147,1.0664240257895512,1.085579584945332,-1.0664240257895512,0.1936562529855737
148,1.0698921563832655,1.0845063816417346,-1.0698921563832655,0.20454762587178751
149,1.0715645221264467,1.093904522332278,-1.0715645221264467,0.18668195280405084
150,1.0661558891120164,1.0949425263838335,-1.0661558891120164,0.19212763924715773
151,1.073205067411713,1.0685210553082554,-1.073205067411713,0.17473965797267602
152,1.0721417399852171,1.0706453160806135,-1.0721417399852171,0.1833381102512659
153,1.0725749368252961,1.1065726226026362,-1.0725749368252961,0.18114072800229292
154,1.0737948825825816,1.0831776369701733,-1.0737948825825816,0.1997707079392376
155,1.0747760437105014,1.0731042948636142,-1.0747760437105014,0.20215916690551256
156,1.0747710323852042,1.069350172172893,-1.0747710323852042,0.21219069456386738
157,1.0726737930722858,1.0680523027073254,-1.0726737930722858,0.19776440240756663
158,1.078601923973664,1.0847056724808433,-1.078601923973664,0.1879239514665138
159,1.0717425002999927,1.0652094645933672,-1.0717425002999927,0.18610872265214484
160,1.0770735572213712,1.085848494009538,-1.0770735572213712,0.21954714817999427
161,1.0768527699553447,1.075183554129167,-1.0768527699553447,0.20875131365243146
162,1.0766161323889443,1.0837223746559836,-1.0766161323889443,0.19690455717970765
163,1.0845010060331095,1.072138320315968,-1.0845010060331095,0.176841501862998
164,1.0836963109348132,1.0804552869363264,-1.0836963109348132,0.1947071749307347
165,1.0746667177780815,1.0935870734128086,-1.0746667177780815,0.2051208560236935
166,1.074565235039462,1.078497220169414,-1.074565235039462,0.20903792872838445
167,1.0771449920923815,1.0781113776293667,-1.0771449920923815,0.22203114550492023
168,1.0707288863866224,1.0795312090353533,-1.0707288863866224,0.18696856788000382
169,1.0761328229437703,1.0524070371281018,-1.0761328229437703,0.21008885067354544
170,1.0826076580130535,1.0813383893533186,-1.0826076580130535,0.1884016432597688
171,1.0721642569355343,1.0787967009977861,-1.0721642569355343,0.1872551829559568
172,1.0728687345981598,1.0749380046671086,-1.0728687345981598,0.18505780070698385
173,1.072841632625331,1.0931687029925259,-1.072841632625331,0.18180949651284992
174,1.07618629284527,1.0710074468092485,-1.07618629284527,0.17301996751695806
175,1.069744353061137,1.0873788595199585,-1.069744353061137,0.2050253176650425
176,1.0743467976217684,1.0959258133714849,-1.0743467976217684,0.19700009553835865
177,1.072652778547743,1.062607922337272,-1.072652778547743,0.17932549918792395
178,1.0775313351465308,1.0815648436546326,-1.0775313351465308,0.1943250214961307
179,1.0749156993368398,1.0823945240540938,-1.0749156993368398,0.19031241043278876
180,1.082359661874564,1.1000682332298972,-1.082359661874564,0.20750931498996847
181,1.0816962317280148,1.0902787013487383,-1.0816962317280148,0.1994840928632846
182,1.0789124518632889,1.0882961262356152,-1.0789124518632889,0.176554886787045
183,1.0785656590824542,1.0492757613008672,-1.0785656590824542,0.20149039839495558
184,1.0815202483664388,1.0914188785986467,-1.0815202483664388,0.19336963790962072
185,1.0787092978539674,1.0835863514380022,-1.0787092978539674,0.19671348046240567
186,1.0791166236867076,1.0809568220918828,-1.0791166236867076,0.1822871883061049
187,1.0816071072350377,1.085659216750752,-1.0816071072350377,0.19690455717970765
188,1.084520003070002,1.094949104569175,-1.084520003070002,0.1885927199770708
189,1.0776845942372861,1.0800456458872014,-1.0776845942372861,0.20321008885067354
190,1.0796655325785927,1.0972244089299983,-1.0796655325785927,0.1881150281838158
191,1.0786632532658784,1.0625287998806348,-1.0786632532658784,0.177414732014904
192,1.083333829174871,1.0703740986910733,-1.083333829174871,0.19814655584217064
193,1.0750735330840815,1.0744716037403454,-1.0750735330840815,0.22040699340785325
194,1.0793476007554843,1.0813468315384605,-1.0793476007554843,0.18075857456768893
195,1.0841949957868326,1.087680697441101,-1.0841949957868326,0.17970765262252794
196,1.0726464228785557,1.0858642242171548,-1.0726464228785557,0.19279640775771473
197,1.085004734604255,1.0758961655876853,-1.085004734604255,0.18553549250023885
198,1.0798715288224427,1.0888717391274192,-1.0798715288224427,0.2004394764497946
199,1.0891430999921716,1.0457060933113098,-1.0891430999921716,0.2063628546861565
200,1.0798940846453542,1.0574392080307007,-1.0798940846453542,0.22365529760198719
201,1.0792881503053333,1.0993848117915066,-1.0792881503053333,0.20464316423043852
202,1.0806249483771946,1.0558874281969937,-1.0806249483771946,0.1941339447788287
203,1.086622155878855,1.084923733364452,-1.086622155878855,0.19852870927677463
204,1.0811696421840917,1.089404442093589,-1.0811696421840917,0.2112353109773574
205,1.085841158809869,1.0867097919637507,-1.085841158809869,0.1890704117703258
206,1.0743623628564503,1.0973861813545227,-1.0743623628564503,0.2005350148084456
207,1.0838667232057322,1.0901664170351895,-1.0838667232057322,0.2055985478169485
208,1.0782002579906713,1.0843853300268,-1.0782002579906713,0.19279640775771473
209,1.085542636073154,1.0760891112414273,-1.085542636073154,0.1884971816184198
210,1.0803488272687662,1.0858493772420017,-1.0803488272687662,0.19900640107002962
211,1.0887754883455194,1.0814154852520337,-1.0887754883455194,0.1820005732301519
212,1.0810724108115486,1.0662320906465703,-1.0810724108115486,0.2010127066017006
213,1.0793612903874854,1.0746744437651201,-1.0793612903874854,0.19250979268176172
214,1.0900443857130797,1.0683383562348105,-1.0900443857130797,0.18410241712047387
215,1.0836251552986063,1.0541453903371638,-1.0836251552986063,0.1713002770612401
216,1.0807841154544249,1.0605219602584839,-1.0807841154544249,0.16776535779115315
217,1.0811750078978746,1.070054823702032,-1.0811750078978746,0.2058851628929015
218,1.0835092903479286,1.0613521608439358,-1.0835092903479286,0.18018534441578293
219,1.0874390025501666,1.0690675919706172,-1.0874390025501666,0.1874462596732588
220,1.0853855810735538,1.0724402124231511,-1.0853855810735538,0.19279640775771473
221,1.0768498000891313,1.0811385078863665,-1.0768498000891313,0.18620426101079585
222,1.0828821814578513,1.059412333098325,-1.0828821814578513,0.17445304289672303
223,1.0871820689543434,1.0936474745923823,-1.0871820689543434,0.20464316423043852
224,1.0851641115934954,1.066687529737299,-1.0851641115934954,0.1991974777873316
225,1.0803124140138212,1.0566425269300288,-1.0803124140138212,0.20149039839495558
226,1.0824565226617067,1.0395179228349165,-1.0824565226617067,0.19193656252985575
227,1.0889906792537025,1.0750762278383428,-1.0889906792537025,0.18916595012897677
228,1.084205430486928,1.0619793805209072,-1.084205430486928,0.2176363810069743
229,1.0872460947088574,1.0714576894586736,-1.0872460947088574,0.19164994745390274
230,1.0881746987933698,1.0817631103775718,-1.0881746987933698,0.1880194898251648
231,1.087525029545245,1.0783583521842957,-1.087525029545245,0.1947071749307347
232,1.0860221398913341,1.0588602261109785,-1.0860221398913341,0.18056749785038692
233,1.087718697345775,1.0732987306334756,-1.087718697345775,0.1942294831374797
234,1.0834644099940425,1.06935485384681,-1.0834644099940425,0.20808254514187446
235,1.0791967783285223,1.091128571466966,-1.0791967783285223,0.20206362854686155
236,1.0736991970435432,1.0634155165065418,-1.0736991970435432,0.20798700678322346
237,1.0880583997653879,1.0689884478395635,-1.0880583997653879,0.19642686538645265
238,1.0833294236141702,1.0781904133883389,-1.0833294236141702,0.17770134709085697
239,1.091615868003472,1.087120001966303,-1.091615868003472,0.20989777395624343
240,1.0841221297564714,1.0774249597029253,-1.0841221297564714,0.19614025031049967
241,1.0924143817113794,1.0624566782604565,-1.0924143817113794,0.1988153243527276
242,1.0904400672601617,1.0916377739472822,-1.0904400672601617,0.19164994745390274
243,1.089132410676583,1.0737195069139653,-1.089132410676583,0.20378331900257954
244,1.0907649294189785,1.0784442695704373,-1.0907649294189785,0.18075857456768893
245,1.085747008090434,1.0867788141424006,-1.085747008090434,0.20082162988439858
246,1.0942300674707994,1.070357544855638,-1.0942300674707994,0.19384732970287571
247,1.0932114279788474,1.066533001986417,-1.0932114279788474,0.18868825833572178
248,1.0879225776247357,1.0995302308689465,-1.0879225776247357,0.1988153243527276
249,1.0897714566925298,1.0590631582520225,-1.0897714566925298,0.20531193274099552
250,1.0874809454316678,1.0639279593120923,-1.0874809454316678,0.19776440240756663
251,1.0942337584236395,1.08086050640453,-1.0942337584236395,0.19317856119231872
252,1.0954829914414363,1.052410201592879,-1.0954829914414363,0.18668195280405084
253,1.0866017056548076,1.082975685596466,-1.0866017056548076,0.19910193942868062
